Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,France,France,FR,15.65,29.91,96.45,32.98,opendata.reseaux-energies.fr,false,
2024-01-02 00:00:00,France,France,FR,13.58,26.60,96.94,36.41,opendata.reseaux-energies.fr,false,
2024-01-03 00:00:00,France,France,FR,13.36,26.62,96.90,34.80,opendata.reseaux-energies.fr,false,
2024-01-04 00:00:00,France,France,FR,23.92,39.12,94.44,32.08,opendata.reseaux-energies.fr,false,
2024-01-05 00:00:00,France,France,FR,29.08,45.90,93.10,27.33,opendata.reseaux-energies.fr,false,
2024-01-06 00:00:00,France,France,FR,24.27,40.06,94.28,26.79,opendata.reseaux-energies.fr,false,
2024-01-07 00:00:00,France,France,FR,22.56,38.07,94.64,27.31,opendata.reseaux-energies.fr,false,
2024-01-08 00:00:00,France,France,FR,40.60,60.29,90.27,28.21,opendata.reseaux-energies.fr,false,
2024-01-09 00:00:00,France,France,FR,53.56,76.88,87.40,24.40,opendata.reseaux-energies.fr,false,
2024-01-10 00:00:00,France,France,FR,54.24,77.43,87.13,22.92,opendata.reseaux-energies.fr,false,
2024-01-11 00:00:00,France,France,FR,51.88,74.29,87.89,26.21,opendata.reseaux-energies.fr,false,
2024-01-12 00:00:00,France,France,FR,55.75,78.03,87.59,25.47,opendata.reseaux-energies.fr,false,
2024-01-13 00:00:00,France,France,FR,56.47,79.24,87.64,21.91,opendata.reseaux-energies.fr,false,
2024-01-14 00:00:00,France,France,FR,39.41,58.16,91.46,21.99,opendata.reseaux-energies.fr,false,
2024-01-15 00:00:00,France,France,FR,45.11,65.12,89.80,22.23,opendata.reseaux-energies.fr,false,
2024-01-16 00:00:00,France,France,FR,52.12,73.73,88.16,22.07,opendata.reseaux-energies.fr,false,
2024-01-17 00:00:00,France,France,FR,41.47,60.56,90.50,26.31,opendata.reseaux-energies.fr,false,
2024-01-18 00:00:00,France,France,FR,41.11,60.89,90.08,24.30,opendata.reseaux-energies.fr,false,
2024-01-19 00:00:00,France,France,FR,50.34,72.83,88.03,21.92,opendata.reseaux-energies.fr,false,
2024-01-20 00:00:00,France,France,FR,43.15,64.13,89.74,25.54,opendata.reseaux-energies.fr,false,
2024-01-21 00:00:00,France,France,FR,16.47,30.79,96.12,31.01,opendata.reseaux-energies.fr,false,
2024-01-22 00:00:00,France,France,FR,13.73,26.94,96.82,33.13,opendata.reseaux-energies.fr,false,
2024-01-23 00:00:00,France,France,FR,19.58,34.39,95.40,30.90,opendata.reseaux-energies.fr,false,
2024-01-24 00:00:00,France,France,FR,18.67,32.05,96.31,30.17,opendata.reseaux-energies.fr,false,
2024-01-25 00:00:00,France,France,FR,28.94,44.31,93.88,25.04,opendata.reseaux-energies.fr,false,
2024-01-26 00:00:00,France,France,FR,19.48,32.87,95.94,26.73,opendata.reseaux-energies.fr,false,
2024-01-27 00:00:00,France,France,FR,20.40,34.90,95.28,23.44,opendata.reseaux-energies.fr,false,
2024-01-28 00:00:00,France,France,FR,16.17,30.14,96.25,27.37,opendata.reseaux-energies.fr,false,
2024-01-29 00:00:00,France,France,FR,30.16,46.31,93.43,27.50,opendata.reseaux-energies.fr,false,
2024-01-30 00:00:00,France,France,FR,37.07,54.97,91.77,23.89,opendata.reseaux-energies.fr,false,
2024-01-31 00:00:00,France,France,FR,37.09,55.06,91.86,23.47,opendata.reseaux-energies.fr,false,
2024-02-01 00:00:00,France,France,FR,33.69,50.41,92.74,23.10,opendata.reseaux-energies.fr,false,
2024-02-02 00:00:00,France,France,FR,20.13,34.79,95.45,25.45,opendata.reseaux-energies.fr,false,
2024-02-03 00:00:00,France,France,FR,19.85,34.72,95.64,25.21,opendata.reseaux-energies.fr,false,
2024-02-04 00:00:00,France,France,FR,19.85,35.32,95.60,26.71,opendata.reseaux-energies.fr,false,
2024-02-05 00:00:00,France,France,FR,20.50,34.74,95.76,28.54,opendata.reseaux-energies.fr,false,
2024-02-06 00:00:00,France,France,FR,15.43,29.16,96.53,30.01,opendata.reseaux-energies.fr,false,
2024-02-07 00:00:00,France,France,FR,15.42,28.74,96.61,32.73,opendata.reseaux-energies.fr,false,
2024-02-08 00:00:00,France,France,FR,15.14,29.21,96.50,31.43,opendata.reseaux-energies.fr,false,
2024-02-09 00:00:00,France,France,FR,16.71,31.04,96.17,31.21,opendata.reseaux-energies.fr,false,
2024-02-10 00:00:00,France,France,FR,22.96,38.47,94.77,28.98,opendata.reseaux-energies.fr,false,
2024-02-11 00:00:00,France,France,FR,20.19,35.75,95.36,31.78,opendata.reseaux-energies.fr,false,
2024-02-12 00:00:00,France,France,FR,45.12,65.54,89.85,24.65,opendata.reseaux-energies.fr,false,
2024-02-13 00:00:00,France,France,FR,36.17,54.29,92.42,28.57,opendata.reseaux-energies.fr,false,
2024-02-14 00:00:00,France,France,FR,31.59,48.78,93.25,28.86,opendata.reseaux-energies.fr,false,
2024-02-15 00:00:00,France,France,FR,24.83,40.54,94.76,28.41,opendata.reseaux-energies.fr,false,
