Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2025-06;26209817.406101;408582.579412;4716853.235724;431243.240037;122410.682254;144342.298839;1811708.074599;0.0;18776957.881561;4876933.686329;579070.898724;7047825.898863998;2522.280485;2561646.871002997
2025-05;25512705.626909;178874.137329;4860166.520424;653436.046585;128501.345913;175940.844495;2411318.27167;0.0;17446519.643444;5016148.204259;807648.612021;7414038.867121001;2891.3000559999996;3233696.166424009
2025-04;27070799.856826;354962.004204;4365614.837982;696942.258363;111764.660438;167005.344847;2249469.95312;0.0;19894290.439377;4931849.436531;753323.551089;6301713.422824998;2759.7601019999993;3132622.305856
2025-03;32273660.059002;956665.460985;4803102.042639;749996.30545;100240.935779;180453.253165;2174989.801337;0.0;26476614.3523;4800089.814877;767282.291894;6062004.877753;2503.160577;3130613.360956051
2025-02;32005365.712429;1842735.960226;5865260.368853;663055.792506;52117.50718;152250.866582;1565731.519628;0.0;29998928.431031;4287689.022539;424059.283723;4917797.785559;2300.625524;2515742.579028002
2025-01;38768351.017735;1948627.725103;6543434.063683;864327.449222;33171.984349;133471.433662;2729922.843225;0.0;34993145.662673;4678949.15388;640146.239333;6741249.333039001;2511.1497439999994;3965304.978309967
2024-12;36651862.673088;1540117.670748;6083966.091321;959660.757707;27685.096003;115812.729755;2451145.003423;0.0;32434920.788597;4453672.242119;617361.193443;6705784.8144149985;2394.014408000001;3616116.969063045
2024-11;33030789.641422;1822537.700955;4741972.749338;692524.395576;37783.495585;107613.531247;1954646.376606;0.0;26781963.523736;4649343.782767;535538.027839;7454988.722905001;2215.819659;2963818.013822995
2024-10;29963098.481182;429132.240091;5907844.208596;591094.649459;62231.047767;95422.588257;1753125.015297;0.0;22264159.992283;5072976.737009;627616.132009;8121075.617035999;1935.4489090000006;2714184.30340301
2024-09;27447947.349506;513685.418216;3603355.308858;734862.19793;91734.11458;99182.270661;2392182.951782;0.0;18370368.1655931;4920573.46072501;593821.5046;7790683.519087;2117.6275369999994;3205385.333990948
2024-08;28598406.833673;396385.457524;3901999.594687;437215.060885;128869.0086539999;117943.27917;1427172.985108;0.0;19193701.182967;4807346.62415;653338.01183;8118110.631679001;2173.8435450000006;2233321.925529975
2024-07;28581336.680507;358525.350191;5381036.768834;431785.301718;132328.629492;129942.861505;1458557.121233;0.0;20071964.920563;5196677.692502;424851.004912;8544374.969321;2169.961995000001;2233474.164187035
2024-06;26367144.548511;194605.000983;6007064.456713;435975.611786;122921.189229;103216.717329;1615763.969884;0.0;18467845.69171;4943578.836276;552702.930346;8383475.579712001;2019.9828030000008;2497068.473588004
2024-05;27846070.517741;135056.722401;6886568.900447;485470.576353;116155.961549;112344.447656;1667841.061228;0.0;19527572.532985;4976500.455311;810767.999343;9274605.581198;2095.6354860000006;2657965.98305195
2024-04;26670103.615333;341949.472644;5428912.112188;755603.699279;107801.954697;102405.97;2582678.704273;0.0;21268861.2427521;4890305.421222;753777.473237;5475362.188296001;2095.377533;3599053.825373914
2024-03;29894501.689584;1109551.059796;6733828.025647;701055.708536;84836.921843;120757.037666;2406409.935459;0.0;25227232.897833;4720487.353591;645955.732186;6949710.343588001;2130.2409169999996;3505423.810415966
2024-02;30732701.088268;1236146.969047;5714080.479952;844715.962747;44061.477398;101175.279095;2783836.256246;0.0;25698649.060467;4235910.545774;608672.627664;6943914.081417001;2082.5459950000004;3967488.651436006
2024-01;35925790.564938;2462964.655228;7129755.866831;731544.666743;35787.00164;111860.239577;2467778.923253;0.0;34284248.823737;4576711.504294;504303.493985;5838404.979905999;2222.9063330000004;3659590.209955051
2023-12;31530377.952096;1855560.263275;6703332.338595;783847.15741;26997.997428;125246.613677;3383181.794408;0.0;29217073.457503;4312772.312998;704211.003751;5605442.974963;1927.7249110000005;4567116.642762968
2023-11;27579291.335504;1658802.610888;6038647.138903;819415.812939;37273.461716;93213.474501;3342477.265511;0.0;24778844.684384;4574998.249826;587557.571513;5312724.912471;1978.488429;4313017.193338981
2023-10;28250480.445677;962370.32976;3275456.033039;599917.63977;75762.397361;88340.603328;2465094.552126;0.0;20265693.560684;4968180.370398;463595.97596;6652806.318634001;1854.5625160000002;3365291.212869038
2023-09;26941770.872344;1059508.981918;2918267.055914;320638.082588;115374.855821;106787.507671;1480700.041536;0.0;19751275.319345;4900488.573934;342212.469217;5705284.247094;2286.1405459999996;2241500.647655971
2023-08;23944547.601173;1343032.914944;3289096.45042;360354.924783;128499.628327;119684.68316;1818860.109608;0.0;18850529.39466;4624806.57030199;425588.293972;4471860.147705;2090.7275849999996;2629201.178191019
